c1,c2,c3,c4,c7,c8,reg_target,class_target,c2_median_imputed,c7_most_frequent_imputed,c8_ordinal,c1_Male,c7_S,c7_Q
male,27.0,0,0,S,Middle Class,13.0,0,27.0,S,1.0,1.0,0.0,1.0
male,51.0,0,0,S,Lower Class,8.05,0,51.0,S,0.0,1.0,0.0,1.0
male,,0,0,S,Lower Class,7.8958,0,28.0,S,0.0,1.0,0.0,1.0
male,38.0,1,0,S,Upper Class,90.0,1,38.0,S,2.0,1.0,0.0,1.0
male,22.0,0,0,S,Lower Class,9.35,0,22.0,S,0.0,1.0,0.0,1.0
male,19.0,0,0,S,Middle Class,10.5,1,19.0,S,1.0,1.0,0.0,1.0
male,20.5,0,0,S,Lower Class,7.25,0,20.5,S,0.0,1.0,0.0,1.0
male,18.0,0,0,S,Middle Class,13.0,0,18.0,S,1.0,1.0,0.0,1.0
female,,3,1,S,Lower Class,25.4667,0,28.0,S,0.0,0.0,0.0,1.0
female,35.0,1,0,S,Upper Class,83.475,1,35.0,S,2.0,0.0,0.0,1.0
male,29.0,0,0,S,Lower Class,7.775,0,29.0,S,0.0,1.0,0.0,1.0
male,59.0,0,0,S,Middle Class,13.5,0,59.0,S,1.0,1.0,0.0,1.0
female,5.0,4,2,S,Lower Class,31.3875,1,5.0,S,0.0,0.0,0.0,1.0
male,24.0,0,0,S,Middle Class,10.5,0,24.0,S,1.0,1.0,0.0,1.0
female,,0,0,S,Lower Class,7.55,0,28.0,S,0.0,0.0,0.0,1.0
male,44.0,1,0,S,Middle Class,26.0,0,44.0,S,1.0,1.0,0.0,1.0
female,8.0,0,2,S,Middle Class,26.25,1,8.0,S,1.0,0.0,0.0,1.0
male,19.0,0,0,S,Middle Class,10.5,0,19.0,S,1.0,1.0,0.0,1.0
male,33.0,0,0,S,Middle Class,12.275,0,33.0,S,1.0,1.0,0.0,1.0
female,,1,0,C,Lower Class,14.4542,0,28.0,C,0.0,0.0,0.0,0.0
female,,1,0,Q,Lower Class,15.5,1,28.0,Q,0.0,0.0,1.0,0.0
male,29.0,0,0,S,Middle Class,10.5,0,29.0,S,1.0,1.0,0.0,1.0
male,22.0,0,0,S,Lower Class,7.125,0,22.0,S,0.0,1.0,0.0,1.0
male,30.0,0,0,C,Lower Class,7.225,0,30.0,C,0.0,1.0,0.0,0.0
male,44.0,2,0,Q,Upper Class,90.0,0,44.0,Q,2.0,1.0,1.0,0.0
female,25.0,0,0,S,Lower Class,7.775,0,25.0,S,0.0,0.0,0.0,1.0
female,24.0,0,2,S,Middle Class,14.5,1,24.0,S,1.0,0.0,0.0,1.0
male,37.0,1,1,S,Upper Class,52.5542,1,37.0,S,2.0,1.0,0.0,1.0
male,54.0,1,0,S,Middle Class,26.0,0,54.0,S,1.0,1.0,0.0,1.0
male,,0,0,S,Lower Class,7.25,0,28.0,S,0.0,1.0,0.0,1.0
female,29.0,1,1,S,Lower Class,10.4625,0,29.0,S,0.0,0.0,0.0,1.0
male,62.0,0,0,S,Upper Class,26.55,0,62.0,S,2.0,1.0,0.0,1.0
male,30.0,1,0,S,Lower Class,16.1,0,30.0,S,0.0,1.0,0.0,1.0
female,41.0,0,2,S,Lower Class,20.2125,0,41.0,S,0.0,0.0,0.0,1.0
female,29.0,0,2,C,Lower Class,15.2458,1,29.0,C,0.0,0.0,0.0,0.0
female,,0,0,C,Upper Class,79.2,1,28.0,C,2.0,0.0,0.0,0.0
female,30.0,0,0,S,Upper Class,86.5,1,30.0,S,2.0,0.0,0.0,1.0
female,35.0,0,0,C,Upper Class,512.3292,1,35.0,C,2.0,0.0,0.0,0.0
female,50.0,0,1,S,Middle Class,26.0,1,50.0,S,1.0,0.0,0.0,1.0
male,,0,0,Q,Lower Class,7.75,0,28.0,Q,0.0,1.0,1.0,0.0
male,3.0,4,2,S,Lower Class,31.3875,1,3.0,S,0.0,1.0,0.0,1.0
male,52.0,1,1,S,Upper Class,79.65,0,52.0,S,2.0,1.0,0.0,1.0
male,40.0,0,0,S,Upper Class,0.0,0,40.0,S,2.0,1.0,0.0,1.0
female,,0,0,Q,Lower Class,7.75,0,28.0,Q,0.0,0.0,1.0,0.0
male,36.0,0,0,S,Middle Class,10.5,0,36.0,S,1.0,1.0,0.0,1.0
male,16.0,4,1,S,Lower Class,39.6875,0,16.0,S,0.0,1.0,0.0,1.0
male,25.0,1,0,S,Lower Class,7.775,1,25.0,S,0.0,1.0,0.0,1.0
female,58.0,0,1,S,Upper Class,153.4625,1,58.0,S,2.0,0.0,0.0,1.0
female,35.0,0,0,S,Upper Class,135.6333,1,35.0,S,2.0,0.0,0.0,1.0
male,,0,0,S,Upper Class,31.0,0,28.0,S,2.0,1.0,0.0,1.0
male,25.0,0,0,S,Lower Class,0.0,1,25.0,S,0.0,1.0,0.0,1.0
female,41.0,0,1,S,Middle Class,19.5,1,41.0,S,1.0,0.0,0.0,1.0
male,37.0,0,1,C,Upper Class,29.7,0,37.0,C,2.0,1.0,0.0,0.0
female,,0,0,Q,Lower Class,7.75,1,28.0,Q,0.0,0.0,1.0,0.0
female,63.0,1,0,S,Upper Class,77.9583,1,63.0,S,2.0,0.0,0.0,1.0
female,45.0,0,0,S,Lower Class,7.75,0,45.0,S,0.0,0.0,0.0,1.0
male,,0,0,S,Middle Class,0.0,0,28.0,S,1.0,1.0,0.0,1.0
male,7.0,4,1,Q,Lower Class,29.125,0,7.0,Q,0.0,1.0,1.0,0.0
female,35.0,1,1,S,Lower Class,20.25,1,35.0,S,0.0,0.0,0.0,1.0
male,65.0,0,0,Q,Lower Class,7.75,0,65.0,Q,0.0,1.0,1.0,0.0
male,28.0,0,0,S,Lower Class,7.8542,0,28.0,S,0.0,1.0,0.0,1.0
male,16.0,0,0,S,Lower Class,9.5,0,16.0,S,0.0,1.0,0.0,1.0
male,19.0,0,0,S,Lower Class,8.05,1,19.0,S,0.0,1.0,0.0,1.0
male,,0,0,S,Upper Class,26.0,0,28.0,S,2.0,1.0,0.0,1.0
male,33.0,0,0,C,Lower Class,8.6625,0,33.0,C,0.0,1.0,0.0,0.0
male,30.0,0,0,S,Lower Class,9.5,1,30.0,S,0.0,1.0,0.0,1.0
male,22.0,0,0,S,Lower Class,7.8958,0,22.0,S,0.0,1.0,0.0,1.0
male,42.0,0,0,S,Middle Class,13.0,1,42.0,S,1.0,1.0,0.0,1.0
female,22.0,0,0,Q,Lower Class,7.75,1,22.0,Q,0.0,0.0,1.0,0.0
female,26.0,0,0,S,Upper Class,78.85,1,26.0,S,2.0,0.0,0.0,1.0
female,19.0,1,0,C,Upper Class,91.0792,1,19.0,C,2.0,0.0,0.0,0.0
male,36.0,0,0,C,Middle Class,12.875,0,36.0,C,1.0,1.0,0.0,0.0
female,24.0,0,0,S,Lower Class,8.85,0,24.0,S,0.0,0.0,0.0,1.0
male,24.0,0,0,S,Lower Class,7.8958,0,24.0,S,0.0,1.0,0.0,1.0
male,,0,0,C,Upper Class,27.7208,0,28.0,C,2.0,1.0,0.0,0.0
male,23.5,0,0,C,Lower Class,7.2292,0,23.5,C,0.0,1.0,0.0,0.0
female,2.0,1,2,S,Upper Class,151.55,0,2.0,S,2.0,0.0,0.0,1.0
male,,0,0,S,Upper Class,30.5,1,28.0,S,2.0,1.0,0.0,1.0
female,50.0,0,1,C,Upper Class,247.5208,1,50.0,C,2.0,0.0,0.0,0.0
female,,0,0,Q,Lower Class,7.75,1,28.0,Q,0.0,0.0,1.0,0.0
male,,2,0,Q,Lower Class,23.25,1,28.0,Q,0.0,1.0,1.0,0.0
male,19.0,0,0,S,Lower Class,0.0,0,19.0,S,0.0,1.0,0.0,1.0
female,,0,0,Q,Middle Class,12.35,1,28.0,Q,1.0,0.0,1.0,0.0
male,,0,0,S,Lower Class,8.05,0,28.0,S,0.0,1.0,0.0,1.0
male,0.92,1,2,S,Upper Class,151.55,1,0.92,S,2.0,1.0,0.0,1.0
female,,0,0,C,Upper Class,110.8833,1,28.0,C,2.0,0.0,0.0,0.0
female,17.0,1,0,C,Upper Class,108.9,1,17.0,C,2.0,0.0,0.0,0.0
male,30.0,1,0,C,Middle Class,24.0,0,30.0,C,1.0,1.0,0.0,0.0
female,30.0,0,0,C,Upper Class,56.9292,1,30.0,C,2.0,0.0,0.0,0.0
female,24.0,0,0,C,Upper Class,83.1583,1,24.0,C,2.0,0.0,0.0,0.0
female,18.0,2,2,C,Upper Class,262.375,1,18.0,C,2.0,0.0,0.0,0.0
female,26.0,1,1,S,Middle Class,26.0,0,26.0,S,1.0,0.0,0.0,1.0
male,28.0,0,0,S,Lower Class,7.8958,0,28.0,S,0.0,1.0,0.0,1.0
male,43.0,1,1,S,Middle Class,26.25,0,43.0,S,1.0,1.0,0.0,1.0
female,26.0,0,0,S,Lower Class,7.8542,1,26.0,S,0.0,0.0,0.0,1.0
female,24.0,1,0,S,Middle Class,26.0,1,24.0,S,1.0,0.0,0.0,1.0
male,54.0,0,0,S,Middle Class,14.0,0,54.0,S,1.0,1.0,0.0,1.0
female,31.0,0,2,S,Upper Class,164.8667,1,31.0,S,2.0,0.0,0.0,1.0
female,40.0,1,1,C,Upper Class,134.5,1,40.0,C,2.0,0.0,0.0,0.0
male,22.0,0,0,S,Lower Class,7.25,0,22.0,S,0.0,1.0,0.0,1.0
male,27.0,0,0,S,Lower Class,7.8958,0,27.0,S,0.0,1.0,0.0,1.0
female,30.0,0,0,Q,Middle Class,12.35,1,30.0,Q,1.0,0.0,1.0,0.0
female,22.0,1,1,S,Middle Class,29.0,1,22.0,S,1.0,0.0,0.0,1.0
male,,8,2,S,Lower Class,69.55,0,28.0,S,0.0,1.0,0.0,1.0
female,36.0,0,0,C,Upper Class,135.6333,1,36.0,C,2.0,0.0,0.0,0.0
male,61.0,0,0,S,Lower Class,6.2375,0,61.0,S,0.0,1.0,0.0,1.0
female,36.0,0,0,S,Middle Class,13.0,1,36.0,S,1.0,0.0,0.0,1.0
female,31.0,1,1,S,Lower Class,20.525,1,31.0,S,0.0,0.0,0.0,1.0
female,16.0,0,1,C,Upper Class,57.9792,1,16.0,C,2.0,0.0,0.0,0.0
female,,2,0,Q,Lower Class,23.25,1,28.0,Q,0.0,0.0,1.0,0.0
male,45.5,0,0,S,Upper Class,28.5,0,45.5,S,2.0,1.0,0.0,1.0
male,38.0,0,1,S,Upper Class,153.4625,0,38.0,S,2.0,1.0,0.0,1.0
male,16.0,2,0,S,Lower Class,18.0,0,16.0,S,0.0,1.0,0.0,1.0
female,,1,0,S,Upper Class,133.65,1,28.0,S,2.0,0.0,0.0,1.0
male,,0,0,S,Lower Class,7.8958,0,28.0,S,0.0,1.0,0.0,1.0
male,29.0,1,0,S,Upper Class,66.6,0,29.0,S,2.0,1.0,0.0,1.0
female,41.0,0,0,C,Upper Class,134.5,1,41.0,C,2.0,0.0,0.0,0.0
male,45.0,0,0,S,Lower Class,8.05,1,45.0,S,0.0,1.0,0.0,1.0
male,45.0,0,0,S,Upper Class,35.5,0,45.0,S,2.0,1.0,0.0,1.0
male,2.0,1,1,S,Middle Class,26.0,1,2.0,S,1.0,1.0,0.0,1.0
female,24.0,3,2,S,Upper Class,263.0,1,24.0,S,2.0,0.0,0.0,1.0
male,28.0,0,0,S,Middle Class,13.0,0,28.0,S,1.0,1.0,0.0,1.0
male,25.0,0,0,S,Middle Class,13.0,0,25.0,S,1.0,1.0,0.0,1.0
male,36.0,0,0,S,Middle Class,13.0,0,36.0,S,1.0,1.0,0.0,1.0
female,24.0,0,0,S,Middle Class,13.0,1,24.0,S,1.0,0.0,0.0,1.0
female,40.0,0,0,S,Middle Class,13.0,1,40.0,S,1.0,0.0,0.0,1.0
female,,1,0,S,Lower Class,16.1,1,28.0,S,0.0,0.0,0.0,1.0
male,3.0,1,1,S,Lower Class,15.9,1,3.0,S,0.0,1.0,0.0,1.0
male,42.0,0,0,S,Lower Class,8.6625,0,42.0,S,0.0,1.0,0.0,1.0
male,23.0,0,0,S,Lower Class,9.225,0,23.0,S,0.0,1.0,0.0,1.0
male,,0,0,S,Upper Class,35.0,0,28.0,S,2.0,1.0,0.0,1.0
male,15.0,1,1,C,Lower Class,7.2292,0,15.0,C,0.0,1.0,0.0,0.0
male,25.0,1,0,S,Lower Class,17.8,0,25.0,S,0.0,1.0,0.0,1.0
male,,0,0,C,Lower Class,7.225,0,28.0,C,0.0,1.0,0.0,0.0
male,28.0,0,0,S,Lower Class,9.5,0,28.0,S,0.0,1.0,0.0,1.0
female,22.0,0,1,S,Upper Class,55.0,1,22.0,S,2.0,0.0,0.0,1.0
female,38.0,0,0,S,Middle Class,13.0,0,38.0,S,1.0,0.0,0.0,1.0
female,,0,0,Q,Lower Class,7.8792,1,28.0,Q,0.0,0.0,1.0,0.0
female,,0,0,Q,Lower Class,7.8792,1,28.0,Q,0.0,0.0,1.0,0.0
male,40.0,1,4,S,Lower Class,27.9,0,40.0,S,0.0,1.0,0.0,1.0
male,29.0,1,0,C,Middle Class,27.7208,0,29.0,C,1.0,1.0,0.0,0.0
female,45.0,0,1,C,Lower Class,14.4542,0,45.0,C,0.0,0.0,0.0,0.0
male,35.0,0,0,S,Lower Class,7.05,0,35.0,S,0.0,1.0,0.0,1.0
male,,1,0,Q,Lower Class,15.5,0,28.0,Q,0.0,1.0,1.0,0.0
male,30.0,0,0,S,Lower Class,7.25,0,30.0,S,0.0,1.0,0.0,1.0
female,60.0,1,0,C,Upper Class,75.25,1,60.0,C,2.0,0.0,0.0,0.0
female,,0,0,C,Lower Class,7.2292,1,28.0,C,0.0,0.0,0.0,0.0
female,,0,0,Q,Lower Class,7.75,1,28.0,Q,0.0,0.0,1.0,0.0
female,24.0,0,0,C,Upper Class,69.3,1,24.0,C,2.0,0.0,0.0,0.0
male,25.0,1,0,C,Upper Class,55.4417,1,25.0,C,2.0,1.0,0.0,0.0
male,18.0,1,0,S,Lower Class,6.4958,0,18.0,S,0.0,1.0,0.0,1.0
male,19.0,0,0,S,Lower Class,8.05,0,19.0,S,0.0,1.0,0.0,1.0
male,22.0,0,0,C,Upper Class,135.6333,0,22.0,C,2.0,1.0,0.0,0.0
female,3.0,3,1,S,Lower Class,21.075,0,3.0,S,0.0,0.0,0.0,1.0
female,,1,0,C,Upper Class,82.1708,1,28.0,C,2.0,0.0,0.0,0.0
female,22.0,0,0,S,Lower Class,7.25,1,22.0,S,0.0,0.0,0.0,1.0
male,27.0,0,2,C,Upper Class,211.5,0,27.0,C,2.0,1.0,0.0,0.0
male,20.0,0,0,C,Lower Class,4.0125,0,20.0,C,0.0,1.0,0.0,0.0
male,19.0,0,0,S,Lower Class,7.775,0,19.0,S,0.0,1.0,0.0,1.0
female,42.0,0,0,C,Upper Class,227.525,1,42.0,C,2.0,0.0,0.0,0.0
female,1.0,0,2,C,Lower Class,15.7417,1,1.0,C,0.0,0.0,0.0,0.0
male,32.0,0,0,S,Lower Class,7.925,0,32.0,S,0.0,1.0,0.0,1.0
female,35.0,1,0,S,Upper Class,52.0,1,35.0,S,2.0,0.0,0.0,1.0
male,,0,0,S,Lower Class,7.8958,0,28.0,S,0.0,1.0,0.0,1.0
male,18.0,0,0,S,Middle Class,73.5,0,18.0,S,1.0,1.0,0.0,1.0
male,1.0,5,2,S,Lower Class,46.9,0,1.0,S,0.0,1.0,0.0,1.0
female,36.0,0,0,S,Middle Class,13.0,1,36.0,S,1.0,0.0,0.0,1.0
male,,0,0,Q,Lower Class,7.7292,0,28.0,Q,0.0,1.0,1.0,0.0
female,17.0,0,0,C,Middle Class,12.0,1,17.0,C,1.0,0.0,0.0,0.0
male,36.0,1,2,S,Upper Class,120.0,1,36.0,S,2.0,1.0,0.0,1.0
male,21.0,0,0,S,Lower Class,7.7958,1,21.0,S,0.0,1.0,0.0,1.0
male,28.0,2,0,S,Lower Class,7.925,0,28.0,S,0.0,1.0,0.0,1.0
female,23.0,1,0,C,Upper Class,113.275,1,23.0,C,2.0,0.0,0.0,0.0
female,24.0,0,2,S,Lower Class,16.7,1,24.0,S,0.0,0.0,0.0,1.0
male,22.0,0,0,S,Lower Class,7.7958,0,22.0,S,0.0,1.0,0.0,1.0
female,31.0,0,0,S,Lower Class,7.8542,0,31.0,S,0.0,0.0,0.0,1.0
male,46.0,0,0,S,Middle Class,26.0,0,46.0,S,1.0,1.0,0.0,1.0
male,23.0,0,0,S,Middle Class,10.5,0,23.0,S,1.0,1.0,0.0,1.0
female,28.0,0,0,S,Middle Class,12.65,1,28.0,S,1.0,0.0,0.0,1.0
male,39.0,0,0,S,Lower Class,7.925,1,39.0,S,0.0,1.0,0.0,1.0
male,26.0,0,0,S,Lower Class,8.05,0,26.0,S,0.0,1.0,0.0,1.0
female,21.0,1,0,S,Lower Class,9.825,0,21.0,S,0.0,0.0,0.0,1.0
male,28.0,1,0,S,Lower Class,15.85,0,28.0,S,0.0,1.0,0.0,1.0
female,20.0,0,0,S,Lower Class,8.6625,0,20.0,S,0.0,0.0,0.0,1.0
male,34.0,1,0,S,Middle Class,21.0,0,34.0,S,1.0,1.0,0.0,1.0
male,51.0,0,0,S,Lower Class,7.75,0,51.0,S,0.0,1.0,0.0,1.0
male,3.0,1,1,S,Middle Class,18.75,1,3.0,S,1.0,1.0,0.0,1.0
male,21.0,0,0,S,Lower Class,7.775,0,21.0,S,0.0,1.0,0.0,1.0
female,,3,1,S,Lower Class,25.4667,0,28.0,S,0.0,0.0,0.0,1.0
male,,0,0,S,Lower Class,7.8958,0,28.0,S,0.0,1.0,0.0,1.0
male,,0,0,Q,Lower Class,6.8583,0,28.0,Q,0.0,1.0,1.0,0.0
female,33.0,1,0,Q,Upper Class,90.0,1,33.0,Q,2.0,0.0,1.0,0.0
male,,0,0,S,Middle Class,0.0,0,28.0,S,1.0,1.0,0.0,1.0
male,44.0,0,0,S,Lower Class,7.925,1,44.0,S,0.0,1.0,0.0,1.0
female,,0,0,S,Lower Class,8.05,0,28.0,S,0.0,0.0,0.0,1.0
female,34.0,1,1,S,Middle Class,32.5,1,34.0,S,1.0,0.0,0.0,1.0
female,18.0,0,2,S,Middle Class,13.0,1,18.0,S,1.0,0.0,0.0,1.0
male,30.0,0,0,S,Middle Class,13.0,0,30.0,S,1.0,1.0,0.0,1.0
female,10.0,0,2,S,Lower Class,24.15,0,10.0,S,0.0,0.0,0.0,1.0
male,,0,0,C,Lower Class,7.8958,0,28.0,C,0.0,1.0,0.0,0.0
male,21.0,0,0,Q,Lower Class,7.7333,0,21.0,Q,0.0,1.0,1.0,0.0
male,29.0,0,0,S,Lower Class,7.875,0,29.0,S,0.0,1.0,0.0,1.0
female,28.0,1,1,S,Lower Class,14.4,0,28.0,S,0.0,0.0,0.0,1.0
male,18.0,1,1,S,Lower Class,20.2125,0,18.0,S,0.0,1.0,0.0,1.0
male,,0,0,S,Lower Class,7.25,0,28.0,S,0.0,1.0,0.0,1.0
female,28.0,1,0,S,Middle Class,26.0,1,28.0,S,1.0,0.0,0.0,1.0
female,19.0,0,0,S,Middle Class,26.0,1,19.0,S,1.0,0.0,0.0,1.0
male,,0,0,Q,Lower Class,7.75,0,28.0,Q,0.0,1.0,1.0,0.0
male,32.0,0,0,S,Lower Class,8.05,1,32.0,S,0.0,1.0,0.0,1.0
male,28.0,0,0,S,Upper Class,26.55,1,28.0,S,2.0,1.0,0.0,1.0
female,,1,0,S,Lower Class,16.1,1,28.0,S,0.0,0.0,0.0,1.0
female,42.0,1,0,S,Middle Class,26.0,1,42.0,S,1.0,0.0,0.0,1.0
male,17.0,0,0,S,Lower Class,7.125,0,17.0,S,0.0,1.0,0.0,1.0
male,50.0,1,0,S,Upper Class,55.9,0,50.0,S,2.0,1.0,0.0,1.0
female,14.0,1,2,S,Upper Class,120.0,1,14.0,S,2.0,0.0,0.0,1.0
female,21.0,2,2,S,Lower Class,34.375,0,21.0,S,0.0,0.0,0.0,1.0
female,24.0,2,3,S,Middle Class,18.75,1,24.0,S,1.0,0.0,0.0,1.0
male,64.0,1,4,S,Upper Class,263.0,0,64.0,S,2.0,1.0,0.0,1.0
male,31.0,0,0,S,Middle Class,10.5,0,31.0,S,1.0,1.0,0.0,1.0
female,45.0,1,1,S,Middle Class,26.25,1,45.0,S,1.0,0.0,0.0,1.0
male,20.0,0,0,S,Lower Class,9.5,0,20.0,S,0.0,1.0,0.0,1.0
male,25.0,1,0,S,Lower Class,7.775,0,25.0,S,0.0,1.0,0.0,1.0
female,28.0,0,0,S,Middle Class,13.0,1,28.0,S,1.0,0.0,0.0,1.0
